"DrugBank.ID","UniProt.Protein.ID"
"DB01544","P14867"
"DB01205","P14867"
"DB14028","P14867"
"DB00962","P14867"
"DB01107","P14867"
"DB01351","P14867"
"DB01476","P14867"
"DB01215","P14867"
"DB01174","P14867"
"DB01154","P14867"
"DB01558","P14867"
"DB00842","P14867"
"DB01594","P14867"
"DB00474","P14867"
"DB09166","P14867"
"DB00475","P14867"
"DB00683","P14867"
"DB01545","P14867"
"DB01595","P14867"
"DB00237","P14867"
"DB00897","P14867"
"DB01511","P14867"
"DB00818","P14867"
"DB01476","P47869"
"DB01545","P47869"
"DB00690","P47869"
"DB00418","P47869"
"DB01559","P47869"
"DB00849","P47869"
"DB00801","P47869"
"DB01353","P47869"
"DB01553","P47869"
"DB01174","P47869"
"DB01595","P47869"
"DB01567","P47869"
"DB00897","P47869"
"DB01589","P47869"
"DB01352","P47869"
"DB01351","P47869"
"DB01544","P47869"
"DB00349","P47869"
"DB00273","P47869"
"DB00463","P47869"
"DB06554","P47869"
"DB00371","P47869"
"DB00842","P47869"
"DB00186","P47869"
"DB06716","P47869"
"DB01355","P47869"
"DB14028","P47869"
"DB00818","P47869"
"DB01437","P47869"
"DB00237","P47869"
"DB02530","P47869"
"DB00628","P47869"
"DB09017","P47869"
"DB00546","P47869"
"DB01068","P47869"
"DB01154","P47869"
"DB01205","P47869"
"DB00404","P47869"
"DB00829","P47869"
"DB01588","P47869"
"DB00312","P47869"
"DB01594","P47869"
"DB01558","P47869"
"DB00475","P47869"
"DB00306","P47869"
"DB01198","P47869"
"DB00231","P47869"
"DB01511","P47869"
"DB08811","P47869"
"DB00683","P47869"
"DB09166","P47869"
"DB01215","P47869"
"DB00231","P34903"
"DB01545","P34903"
"DB00306","P34903"
"DB01355","P34903"
"DB00371","P34903"
"DB01589","P34903"
"DB00349","P34903"
"DB00818","P34903"
"DB01553","P34903"
"DB00463","P34903"
"DB00842","P34903"
"DB01353","P34903"
"DB01567","P34903"
"DB00801","P34903"
"DB09166","P34903"
"DB00628","P34903"
"DB01594","P34903"
"DB00312","P34903"
"DB06716","P34903"
"DB06554","P34903"
"DB00546","P34903"
"DB01588","P34903"
"DB00186","P34903"
"DB01215","P34903"
"DB00418","P34903"
"DB01154","P34903"
"DB00690","P34903"
"DB01595","P34903"
"DB01476","P34903"
"DB09017","P34903"
"DB02530","P34903"
"DB14028","P34903"
"DB01511","P34903"
"DB00273","P34903"
"DB01544","P34903"
"DB00683","P34903"
"DB00829","P34903"
"DB00897","P34903"
"DB08811","P34903"
"DB01558","P34903"
"DB00849","P34903"
"DB01351","P34903"
"DB01559","P34903"
"DB01352","P34903"
"DB00237","P34903"
"DB01437","P34903"
"DB01205","P34903"
"DB00404","P34903"
"DB01174","P34903"
"DB01068","P34903"
"DB01198","P34903"
"DB00475","P34903"
"DB02530","P48169"
"DB00231","P48169"
"DB01559","P48169"
"DB06554","P48169"
"DB01553","P48169"
"DB01205","P48169"
"DB01558","P48169"
"DB00818","P48169"
"DB00463","P48169"
"DB00237","P48169"
"DB00829","P48169"
"DB01567","P48169"
