Drug,Protein
DB00377,A5X5Y0
DB09068,A5X5Y0
DB00370,A5X5Y0
DB00969,A5X5Y0
DB00904,A5X5Y0
DB08883,P42261
DB00740,P42261
DB00273,P42261
DB00740,P42262
DB08883,P42262
DB00273,P42262
DB00273,P42263
DB00740,P42263
DB08883,P42263
DB08883,P48058
DB00273,P48058
DB00740,P48058
DB00740,P39086
DB00273,P39086
DB00740,Q13002
DB00273,Q13002
DB00740,Q13003
DB00273,Q13003
DB00740,Q16099
DB00273,Q16099
DB00273,Q16478
DB00740,Q16478
DB01173,Q05586
DB00740,Q05586
DB01043,Q05586
DB01221,Q05586
DB00333,Q05586
DB00514,Q05586
DB00949,Q05586
DB00659,Q05586
DB11823,Q05586
DB11823,Q12879
DB01221,Q12879
DB00514,Q12879
DB00659,Q12879
DB01043,Q12879
DB00333,Q12879
DB01173,Q12879
DB00949,Q12879
DB00740,Q12879
DB00659,Q13224
DB00740,Q13224
DB01221,Q13224
DB01043,Q13224
DB00514,Q13224
DB01173,Q13224
DB11823,Q13224
DB00949,Q13224
DB00333,Q13224
DB01043,Q14957
DB01221,Q14957
DB00659,Q14957
DB11823,Q14957
DB00949,Q14957
DB01173,Q14957
DB00333,Q14957
DB00740,Q14957
DB00514,Q14957
DB11823,O15399
DB01221,O15399
DB00949,O15399
DB00659,O15399
DB01173,O15399
DB01043,O15399
DB00740,O15399
DB00333,O15399
DB00514,O15399
DB06786,P04150
DB14541,P04150
DB14543,P04150
DB00741,P04150
DB14649,P04150
DB01234,P04150
DB11921,P04150
DB00834,P04150
DB00896,P04150
DB08906,P04150
DB00620,P04150
DB00591,P04150
DB13867,P04150
DB00253,P04150
DB00959,P04150
DB14512,P04150
DB00394,P04150
DB00838,P04150
DB00588,P04150
DB01410,P04150
DB00860,P04150
DB00288,P04150
DB01047,P04150
DB00846,P04150
DB00443,P04150
DB01222,P04150
DB01013,P04150
DB00635,P04150
DB00223,P04150
DB14540,P04150
DB13158,P04150
DB01380,P04150
DB14596,P04150
DB14539,P04150
DB06781,P04150
DB00663,P04150
DB01260,P04150
DB00324,P04150
DB00240,P04150
DB08890,P25092
DB09034,O43613
DB09034,O43614
DB06176,Q13547
DB02546,Q13547
DB06603,Q13547
DB06603,Q92769
DB06176,Q92769
DB02546,Q92769
DB00641,P04035
DB01095,P04035
DB00227,P04035
DB01076,P04035
DB00175,P04035
DB01098,P04035
DB08860,P04035
DB01033,P00492
DB06691,P35367
DB01075,P35367
DB01173,P35367
DB00557,P35367
DB00751,P35367
DB00637,P35367
DB00950,P35367
DB01106,P35367
DB09488,P35367
DB00334,P35367
DB00920,P35367
DB08801,P35367
DB01142,P35367
DB00985,P35367
DB00737,P35367
DB05381,P35367
DB00835,P35367
DB00455,P35367
DB01619,P35367
DB00354,P35367
DB00477,P35367
DB00283,P35367
DB06698,P35367
DB08799,P35367
DB01069,P35367
DB01146,P35367
DB00902,P35367
