uniprot,uniprot2
P04114,P02647
P27169,P02647
P50120,P02647
P11597,P02647
P02656,P02647
P02749,P02647
P63316,P45379
P10916,P45379
P11586,P31939
Q9BXI3,P31939
P09455,P02766
P02647,P02766
P17861,P62380
P63208,Q8TB52
Q9Y3C7,Q9H204
Q9GZP9,O00237
P25788,P04844
Q15293,P04844
P25789,P04844
P60468,P04844
Q14165,P04844
Q13724,P04844
P25787,P04844
Q02363,Q13563
Q9HCT0,Q9GZV9
P28482,Q9GZV9
P31930,O43676
Q7L592,O43676
O75251,O43676
O95168,O43676
P17568,O43676
P57740,Q9UKF6
Q86U42,Q9UKF6
O75694,Q9UKF6
P62318,Q9UKF6
Q13242,Q9UKF6
P51003,Q9UKF6
Q05048,Q9UKF6
Q9NRG9,Q9UKF6
Q9UNQ2,Q8NHQ9
O75832,Q53HC0
P48556,Q53HC0
P43686,Q53HC0
Q9NZZ3,O75351
Q9H444,O75351
P08311,P48595
P17947,P56915
Q9Y5B9,Q8TD19
P57740,Q8TD19
O75694,Q8TD19
Q9NRG9,Q8TD19
Q9NUI1,P49753
P14920,P49753
Q08426,P49753
O14734,P49753
Q9NZ01,P49753
Q13011,P49753
Q15750,P10600
P26012,P10600
O75807,P10600
Q9NPB6,P10600
P23443,P10600
Q03167,P10600
P07585,P10600
P01137,P10600
P51003,Q9BWT3
Q96KQ4,Q53FA7
P13569,P17081
P52566,P17081
Q96KP1,P17081
P11233,P17081
Q9UIQ6,P17081
Q9NPB6,P17081
O00401,P17081
Q99819,P17081
Q9Y3I0,Q8NCA5
Q9Y587,Q6ULP2
O95210,Q9UQK1
Q6ZSY5,Q9UQK1
P81277,P49683
P31267,P09067
P20719,P09067
P25963,P09629
P20719,P09629
P31267,P09629
P09067,P09629
Q16539,P28562
P04150,P28562
P53778,P28562
P28482,P28562
O15264,P28562
Q99704,P28562
P56178,P35548
P30405,Q5EBL8
P01031,Q5EBL8
Q9Y6K5,P18146
P25788,P18146
Q8WUI4,P18146
P28482,P18146
Q9UQL6,P18146
P07737,P35080
Q16850,P25208
P17861,P25208
O15264,Q13115
P28482,Q13115
P28562,Q13115
Q16539,Q13115
P53778,Q13115
P18206,O60504
P63098,Q13148
Q9UMS4,Q13148
P50120,Q8IZV5
P09455,Q8IZV5
O43174,Q8IZV5
P22087,P38432
Q15020,P38432
P68400,Q15003
Q14565,Q9BWT6
P35244,Q9BWT6
P02766,P10997
P98172,O60229
Q15768,O60229
P29992,O60229
P33897,Q9Y5Y5
Q8TB36,Q9Y5Y5
Q9Y3D6,Q9Y5Y5
Q9NUI1,P04040
Q14145,P04040
P49753,P04040
Q96CN7,P04040
Q13011,P04040
P05164,P04040
O14734,P04040
P14920,P04040
Q08426,P04040
P29992,Q92847
P01178,Q92847
P28482,P50591
O00220,P50591
Q9Y572,P50591
O43708,P28161
P07327,P28161
P00390,P28161
P20815,P28161
P48637,P28161
Q16772,P28161
Q03167,P27037
Q96B01,Q9UBT6
P07992,Q9UBT6
Q9UI95,Q9UBT6
P46527,P36888
P14210,P36888
P17947,P36888
Q96SL8,P36888
P21583,P36888
O00459,P36888
P08620,P36888
Q13242,Q96QD9
P23409,P15173
P13349,P15173
Q16539,P15173
P53778,P15173
P19387,P15173
Q13232,Q3SYG4
O43639,A6NGB9
O00401,A6NGB9
O15145,A6NGB9
P31267,P31268
P20719,P31268
P09067,P31268
P09629,P31268
O95633,P08476
P01137,P08476
P27037,P08476
P10600,P08476
P10997,O60896
Q9UNE7,Q15672
P24385,Q15672
Q9H9S0,Q15672
Q96RU7,Q15672
Q6ULP2,P09496
O75976,P09496
Q9UI95,P09496
Q15311,P09496
P01730,P09496
P80108,P09496
O14653,P09496
O15498,P09496
O96015,P09496
Q9NQT4,Q7Z2W4
P37059,P51857
Q14469,Q9Y4Z2
P10144,P10124
P18146,P11161
Q16850,P11161
Q02363,P11161
P27695,P13051
Q9Y547,Q8WYA0
Q9BYV1,P16219
Q08426,P16219
Q92947,P16219
P28330,P16219
Q9Y2X8,Q9Y3C5
Q16526,Q9C0J9
Q13424,Q14714
Q13326,Q14714
Q9UKF6,O00148
Q86U42,O00148
P51003,O00148
Q96QD9,O00148
Q15428,Q9BQ61
O15270,Q53FV1
P51841,Q01064
P16520,Q01064
O15353,P31276
P02656,Q07954
Q9UQF2,Q07954
P00750,Q07954
P05121,Q07954
Q15036,Q07954
P02647,Q07954
P04114,Q07954
P20719,P09630
P09629,P09630
P31267,P09630
P31268,P09630
P09067,P09630
P25398,P61619
Q9GZP9,P61619
Q96A33,P61619
P04844,P61619
P60468,P61619
P84098,P61619
Q02543,P61619
Q9BVK8,P61619
P13569,P61619
P04114,P61619
P17861,P61619
Q9Y294,Q5UIP0
Q8WYA0,Q7Z4L5
P08151,Q7Z4L5
Q9Y547,Q7Z4L5
P14784,Q13287
P60568,Q13287
P24385,Q13287
P13500,P98066
P27037,Q8NER5
P08476,Q8NER5
P16520,P63252
P51787,P63252
Q8NCC3,Q9BZM1
Q9NZ20,Q9BZM1
Q8WUD6,Q9BZM1
Q15459,P09012
Q9UMS4,P09012
Q9BQ61,P09012
P62318,P09012
Q7RTV0,P09012
Q15428,P09012
Q9H6D7,Q68CZ6
P07585,Q8IZ52
Q03167,P05111
P27037,P05111
P08476,P05111
Q9C086,Q9H9F9
P62877,Q9H9F9
P22735,P19957
P30049,P56381
Q9Y5K8,P56381
O00459,P19174
Q8WV28,P19174
P29992,P19174
P08138,P19174
Q07890,P19174
Q13094,P19174
P11912,P19174
O95631,P19174
P14210,P19174
P01730,P19174
Q9UMW8,P19174
P19235,P19174
P40225,P19174
O00148,Q13247
Q86U42,Q13247
Q13242,Q13247
Q15428,Q13247
P62318,Q13247
Q05048,Q13247
P51003,Q13247
Q9Y3B4,Q13247
