drugbank,disease_mesh
DB00519,MESH:D004487
DB00519,MESH:D000799
DB00519,MESH:D003371
DB00519,MESH:D009325
DB01348,MESH:D003371
DB01348,MESH:D007022
DB01348,MESH:D006261
DB01348,MESH:D007319
DB01348,MESH:D004244
DB00963,MESH:D017114
DB00963,MESH:D056486
DB00751,MESH:D004412
DB00978,MESH:D017484
DB00978,MESH:D013262
DB00978,MESH:D012640
DB00978,MESH:D009336
DB01416,MESH:D005687
DB01416,MESH:D013262
DB01128,MESH:D000740
DB01128,MESH:D056486
DB01128,MESH:D006177
DB01128,MESH:D010146
DB09238,MESH:D002375
DB09238,MESH:D013610
DB09134,MESH:D014839
DB09134,MESH:D009325
DB09134,MESH:D014581
DB09134,MESH:D004417
DB09134,MESH:D051437
DB09134,MESH:D014693
DB09134,MESH:D012640
DB09134,MESH:D007674
DB00447,MESH:D006261
DB00447,MESH:D020773
DB00447,MESH:D009325
DB00447,MESH:D015746
DB00447,MESH:D005076
DB00447,MESH:D003967
DB02300,MESH:D006955
DB02300,MESH:D003876
DB02300,MESH:D006934
DB13851,MESH:D001714
DB09135,MESH:D007674
DB09135,MESH:D051437
DB06736,MESH:D006261
DB06736,MESH:D003221
DB06736,MESH:D056486
DB06736,MESH:D014657
DB06736,MESH:D008107
DB06736,MESH:D006356
DB06736,MESH:D006967
