uniprot,disease_mesh
P01563,MESH:D013920
P01563,MESH:D008106
P01563,MESH:D008228
P01563,MESH:D013964
P01563,MESH:D005234
P01563,MESH:D015179
P01563,MESH:D015459
P01563,MESH:D001749
P01563,MESH:D006689
P01563,MESH:D008545
P01563,MESH:D006521
P01563,MESH:D006529
P01563,MESH:D019698
P01563,MESH:D006526
P01569,MESH:D008545
P01569,MESH:D010190
P01574,MESH:D001749
P01574,MESH:D006509
P01574,MESH:D009103
P01574,MESH:D008545
P01574,MESH:D009447
P01574,MESH:D008546
P01574,MESH:D002295
P01574,MESH:D001005
P01574,MESH:D009374
P01574,MESH:D001943
P01574,MESH:D045169
P01574,MESH:D018352
P01574,MESH:D018328
P01579,MESH:D007249
P01579,MESH:D001927
P01579,MESH:D009374
P01579,MESH:D003110
P01579,MESH:D008545
P01579,MESH:D004195
P01579,MESH:D001989
P01579,MESH:D012509
P01579,MESH:D007898
P01579,MESH:D008654
P01579,MESH:D007877
P01579,MESH:D009436
P01579,MESH:D008175
P01579,MESH:D007897
P01579,MESH:D005141
P01579,MESH:D006509
P01579,MESH:D016773
P01579,MESH:D014402
P01579,MESH:D008106
P01579,MESH:D005334
P01579,MESH:D006967
P05019,MESH:D010523
P05019,MESH:D003922
P05019,MESH:D009410
P05019,MESH:D006930
P05019,MESH:D006973
P05019,MESH:D008106
P05019,MESH:D003921
P05019,MESH:D058186
P05019,MESH:D001851
P05019,MESH:D003316
P05019,MESH:D002779
P05019,MESH:D007676
P05019,MESH:D064420
P05019,MESH:D007674
P05019,MESH:D058065
P05019,MESH:D009133
P05019,MESH:D003711
P01344,MESH:D000740
P01344,MESH:D008569
P01344,MESH:D003072
P01344,MESH:D009410
P08833,MESH:D011230
P08833,MESH:D058186
P17936,MESH:D011471
P24592,MESH:D011471
Q16270,MESH:D001943
Q16270,MESH:D011471
O14920,MESH:D018149
P01583,MESH:D000647
P01583,MESH:D056486
P01584,MESH:D009103
P01584,MESH:D005355
P01584,MESH:D056486
P18510,MESH:D002545
P18510,MESH:D011658
P18510,MESH:D009336
P18510,MESH:D017114
P18510,MESH:D006930
P18510,MESH:D007859
P18510,MESH:D005355
P18510,MESH:D016535
P18510,MESH:D052016
P18510,MESH:D013226
P18510,MESH:D007674
