drugbank,uniprot
DB00898,P23415
DB00898,Q02641
DB00898,P46098
DB00898,P47869
DB00898,Q13936
DB00898,P31644
DB00898,P48169
DB00898,P34903
DB00898,P42261
DB00898,Q06432
DB00898,Q15822
DB00898,Q16445
DB00898,P42262
DB00898,P48058
DB00898,P42263
DB00898,P43681
DB00898,P17787
DB00898,P48549
DB00898,P48051
DB00898,P48544
DB00898,P36544
DB00898,Q9UGM1
DB00898,P18505
DB00898,P28472
DB00898,P47870
DB00898,Q13698
DB00898,Q01668
DB00898,P30926
DB00898,P32297
DB00898,P30532
DB00898,Q15825
DB00898,Q05901
DB00898,Q8N1C3
DB00898,Q99928
DB00898,P78334
DB00898,Q9UN88
DB00898,O14764
DB00898,A5X5Y0
DB00898,O95264
DB00898,Q70Z44
DB00898,Q8WXA8
DB00898,Q9Y698
DB00898,Q92806
DB00904,P46098
DB00907,P35498
DB00907,Q9Y5Y9
DB00907,Q9UI33
DB00907,Q99250
DB00907,Q9NY46
DB00907,P35499
DB00907,Q14524
DB00907,Q01118
DB00907,Q9UQD0
DB00907,Q15858
DB00907,Q07699
DB00907,O60939
DB00907,Q9NY72
DB00907,Q8IWT1
DB00908,Q14524
DB00908,O00180
DB00908,Q9Y257
DB00908,Q12809
DB00909,P35498
DB00909,Q99250
DB00909,Q9NY46
DB00909,P35499
DB00909,Q14524
DB00909,Q15858
DB00909,Q9UI33
DB00909,Q07699
DB00909,O60939
DB00909,Q9NY72
DB00909,Q8IWT1
DB00909,O43497
DB00909,O95180
DB00909,Q9P0X4
DB00914,Q15842
DB00915,Q8TCU5
DB00915,P36544
DB00915,P43681
DB00915,P32297
DB00922,Q14654
DB00922,Q15842
DB00939,O43526
DB00939,O43525
DB00949,Q13224
DB00949,Q12879
DB00961,Q9Y5Y9
DB00962,P14867
DB00969,P46098
DB00981,P43681
DB00981,P17787
DB00988,P46098
DB00988,O95264
DB00996,P54289
DB00996,Q00975
DB00996,O43525
DB00996,Q9NR82
DB00999,Q12791
DB01002,Q9Y5Y9
DB01016,Q14654
DB01016,Q15842
DB01016,Q8TD43
DB01023,Q13936
DB01023,P54289
DB01023,Q08289
DB01023,Q01668
DB01023,Q13698
DB01023,O95180
DB01026,Q12809
DB01028,P14867
DB01028,P42261
DB01028,P23415
DB01028,Q09470
DB01028,P47869
DB01028,P34903
DB01028,P48169
DB01028,P31644
DB01028,Q16445
DB01028,P18505
DB01028,P47870
DB01028,P28472
DB01028,O14764
DB01028,P78334
DB01028,Q8N1C3
DB01028,P18507
DB01028,Q99928
DB01028,Q9UN88
DB01035,Q14524
DB01035,Q12809
DB01043,P46098
DB01043,Q05586
DB01043,Q12879
DB01043,Q13224
DB01043,Q14957
DB01043,O15399
DB01043,Q8TCU5
DB01043,O60391
DB01043,P14867
DB01043,P47869
DB01043,P34903
DB01043,P48169
DB01043,P31644
DB01043,Q16445
DB01043,P18505
DB01043,P47870
DB01043,P28472
DB01043,O14764
DB01043,P78334
DB01043,Q8N1C3
DB01043,P18507
DB01043,Q99928
DB01043,Q9UN88
DB01043,P23415
DB01043,O75311
DB01043,P48167
DB01046,P51788
DB01054,Q13936
DB01054,P54289
DB01054,Q08289
DB01054,Q01668
DB01054,Q13698
DB01054,O95180
DB01056,Q14524
DB01068,P14867
DB01068,P47869
DB01068,P34903
DB01068,P48169
DB01068,P31644
DB01068,Q16445
DB01068,P18505
DB01068,P47870
DB01068,P28472
DB01068,O14764
DB01068,P78334
DB01068,Q8N1C3
DB01068,P18507
DB01068,Q99928
DB01068,Q9UN88
DB01069,P51575
DB01069,Q9UBL9
DB01069,P56373
DB01069,Q99571
DB01069,Q93086
DB01069,O15547
DB01069,Q99572
DB01069,P35498
DB01069,Q9Y5Y9
DB01069,Q9UI33
DB01069,Q99250
DB01069,Q9NY46
DB01069,P35499
DB01069,Q14524
DB01069,Q01118
DB01069,Q9UQD0
DB01069,Q15858
DB01069,Q09470
DB01069,Q16322
DB01069,P16389
DB01069,P22001
DB01069,P22459
DB01069,P22460
DB01069,P17658
DB01069,Q14721
DB01069,Q92953
DB01069,P48547
DB01069,Q96PR1
DB01069,Q14003
DB01069,Q03721
DB01069,Q9NSA2
DB01069,Q9NZV8
DB01069,Q9UK17
DB01069,P15382
DB01069,Q9Y6J6
DB01069,Q9Y6H6
DB01069,Q9UJ90
DB01069,Q9H3M0
DB01069,Q9UIX4
DB01069,Q9UJ96
DB01069,Q8TAE7
DB01069,Q8TDN1
DB01069,O95259
DB01069,Q12809
DB01069,Q9ULD8
DB01069,Q9UQ05
DB01069,Q8NCM2
DB01069,Q9H252
DB01069,Q9NS40
DB01069,Q96L42
DB01069,P51787
DB01069,O43526
DB01069,O43525
DB01069,P56696
DB01069,Q9NR82
DB01069,Q96KK3
DB01069,Q9BQ31
DB01069,Q6PIU1
DB01069,Q8TDN2
DB01069,Q14722
DB01069,Q13303
DB01074,Q12809
DB01086,Q9Y5Y9
DB01090,P32297
DB01090,P30926
DB01100,Q12809
DB01107,P14867
DB01107,P47869
DB01107,P34903
DB01107,P48169
DB01107,P31644
DB01107,Q16445
DB01107,P18505
DB01107,P47870
DB01107,P28472
DB01107,O14764
DB01107,P78334
DB01107,Q8N1C3
DB01107,P18507
DB01107,Q99928
DB01107,Q9UN88
DB01110,Q12791
DB01110,Q16558
DB01110,Q9NPA1
DB01110,Q86W47
DB01110,O15554
DB01110,Q92952
DB01110,Q9H2S1
DB01110,Q9UGI6
DB01110,Q09470
DB01110,Q16322
DB01110,P16389
DB01110,P22001
DB01110,P22459
DB01110,P22460
DB01110,P17658
DB01110,Q14721
DB01110,Q92953
DB01110,P48547
DB01110,Q96PR1
DB01110,Q14003
DB01110,Q03721
DB01110,Q9NSA2
DB01110,Q9NZV8
DB01110,Q9UK17
DB01110,P15382
